id;firstname;lastname;p1
11309;Stefan;Krieg;12
3594;Robert;Davey;12
5055;Ştefan;Lichtenstein;88
2932;Oswald;Conner;91
906;Fareed;Deacon;33
461;Roman;Castillo;10
6830;Mirjam;McLean;2
6763;Florentina;Shiomi;73
14207;Mirjam;Sandner;27
2856;Philippe;Urteil;84
10888;Ferdinand;Alechinsky;58
7637;Uros;Gechtman;50
12262;Ute;Pilsl;61
8916;Haim;Kanovitz;85
2203;Franz;Ujvary;68
612;Jules;Hauer;75
11447;Franz Erhard;Saura;78
9940;Martin;Ceccobelli;9
10858;Gertrude;Hollein;14
7904;Judith;Al-Ani;37
9244;Giulio;Schwarzkogler;99
0;Karl;Knifer;36
5338;Francis;Absalon;47
10314;David;Spring;43
1040;Konrad;Egmeri;41
10250;Andrea;Kwade;6
5539;Hilla;Korab;56
8990;Peter;Tuttle;64
3253;Robert R.;Demand;58
954;Graham;Tillmans;28
9296;Birgit;Charlton;9
12680;Richard;Braila;22
12435;Angela;Weibel;26
11975;Markus;McCollum;18
9847;Francesco;Lochore;35
5886;John;Marden;78
4822;Mimmo;Schlögl;68
10680;Wassily;Jan;12
1533;Josh;Eigenberger;52
13814;Jaume;Braila;19
12983;Shadi;Faulkner;87
12493;Victor;Schiess;92
8416;Jud;Stenzel;12
3884;Erika Giovanna;Reither;23
11691;Karel;Prelog;54
3957;James;Immendorff;12
9551;Walter;Brüning;17
12783;Osvaldo;Ströhle;66
131;Marcel;Poirier;93
5242;Gideon;Ghadirian;99
541;Antoine;Le Va;51
4618;Grete;Benazzi;12
1337;Marge;Streuli;5
4511;Uros;Meier-Schomburg;74
5219;Leon Polk;Caminiti;33
14302;Neringa;Melamid;70
1501;Claes;Hilton;94
9925;Erik;Bengston;48
643;Nora;Ponger;25
9644;Andreas;Hoffmann;4
13820;Dike;Althouse;56
13466;Christoph;Buonajuti;84
13789;Dorothee;Hinterhuber;32
1849;Anna;Merz;61
6754;Billy Al;Kraijer;80
7320;Andrea;Schnabel;11
8497;Nedko;Neumann;88
3547;Edita;Muntean/Rosenblum;93
2268;Franz Erhard;Goldblatt;56
7927;Jochen;Wardill;56
3546;John;Cahen;24
