id;firstname;lastname;p2
12589;Kurt;Hofer;89
14984;Oswald;Christensen;23
3130;Pello;Vedova;74
5187;Heinrich;Weber;13
10443;Otto;Dengler;62
4979;Ellsworth;Knebl;80
1886;Ferdinand;Salachow;17
13706;Max;McElroy;59
10041;Kaucyila;Dlugos;74
13113;Theodoros;Spindel;14
10479;Julia;Attersee;99
1943;Johannes;Oehlen;98
5560;Eloise;Messensee;80
6946;James;Kerbelij;91
8661;Mladen;Weigand;64
11472;Jakob Lena;Leviev;39
4509;Gianfranco;Hencze;27
7650;Sharon;Nicholson;34
13910;Bruno;Cabrita;68
1945;Noël;De Maria;98
12291;Haim;Walther;63
3668;Kaucyila;Sirbiladze;38
14513;Artur;Morris;3
2575;Frank;Pignon;47
9838;Marina;Leitner;15
10992;Zoulikha;Forbát;39
8611;Tomas;Bohatsch;94
13099;Hildegard;Dabernig;0
3719;Cindy;Sarkis;46
626;Oswald;Heger;94
13924;Peter;Kern;6
13611;Ines;Buren;19
8514;Josef Matthias;Schnabel;24
4096;Joan;Léger;41
13037;Robert;Deschamps;65
6277;Adolf;Segal;44
13908;Johanna;Hanson;36
4062;Sam;Knoebel;69
3532;Joe;Welling;79
9865;Branko;Giacomelli;99
7802;Martial;Sartory;87
6438;Franz;Mosettig;15
8355;Swetlana;Gangl;18
9348;Hilla;Chamberlain;73
7163;Heinz Günther;Teisseire;39
3171;Wolfgang;Shilinskij;8
7896;Roger;Hansen;73
2087;Mathias;Levinthal;83
5719;Martin;Lettner;38
278;Ernst;Blossfeldt;9
3840;Hartwig;Fine;47
4982;Franz;Trauttmansdorff;27
3998;Nancy;Damisch;97
8981;Mieko;Haubenstock-Ramati;38
13884;Anna;Emshwiller;8
12582;Jan;Provisor;51
5423;Walter;Schmalix;36
611;Anna-Sophie;Canell;65
6699;Manfred;Kaprow;42
1078;Jean;Lichtenstein;44
7397;Miroslaw;Kunzmann;61
3023;Thomas;Staudacher;49
3401;Horace Clifford;Christanell;49
446;Elger;Blossfeldt;87
10994;Bruno;Jawlensky;62
3202;Silvia;Cagnaccio di San Pietro;55
7913;Marcel;Kuehn;53
8609;Kurt;Flögl;26
2632;Zineb;Lawrowa;52
11375;Elmar;Spalletti;71
14262;Heimrad;Zeppel-Sperl;20
3754;S. J.;Hughes;35
9630;Sepp;Kopf;73
7759;Lotte;Lamelas;85
4110;August;Lassnig;74
3364;Peter;Serrano;28
11190;Mladen;Tevet;28
6088;Sigmar;Lüscher;71
2151;Haralampi G.;Iseli;98
9571;Wolfgang;Schiess;66
7958;Adi;Fronius;53
12610;Jean;Schwitters;4
6809;Toni;Gilbert & George;59
9542;Alois;Sedira;29
5553;Wolfgang;Jovánovics;68
2355;Martin;Vopava;15
13483;Edelbert;Werkner;13
9617;Franz;Pilz;35
8075;Hans;Kaufmann;47
4844;Jean;Larson;44
9940;Martin;Ceccobelli;82
3782;Johann;Dessi;73
917;Otto M.;Bertlmann;14
5844;Bernhard;Richter;55
14279;Gordon;Carroll;65
2160;Mieko;Müller;97
10045;Almir;Molto Brutto;0
14762;Isa;Flois;86
5075;Ned;Peacock;5
8561;Kurt;Schiess;68
6512;Johannes;Tàpies;95
2217;Doug;Schiess;63
2484;Jaume;Ono;76
3767;Frank;Richard;90
11792;Georg;Dimitrijevic;97
234;Jean-Michel;Uecker;82
5594;Keith;Serge III;95
7021;Fabrizzio;Genzken;21
6135;Sam;Fox;61
7854;Stephen;Neurath;61
12823;Robert;Reiterer;68
12702;Gregor;Turrell;69
4419;Bernhard;Schmidt jr.;14
11852;Gerwald;Wagner;50
7529;Günther;Kozyra;12
5951;Christoph;Sýkora;11
3430;Tomás;Joham;54
591;Allen;Tillmans;68
215;Nikolaus;Simotová;83
6138;Nobuyoshi;Batuz;14
9102;Stanislav;Schwanzer;72
4749;Ben;Iglar;70
5538;Bernard;Ranner;71
